ip,module,version,eol_status
203.159.95.163,mongodb,4.4.29,2024-02-29
212.43.149.135,mongodb,7.0.32,False
188.227.107.76,mongodb,6.0.5,2025-07-31
136.144.146.82,mongodb,5.0.23,2024-10-31
139.162.88.242,mongodb,7.0.8,False
95.215.204.89,mongodb,8.0.4,False
139.162.11.251,mongodb,7.0.77,False
185.15.211.103,mongodb,4.0.2,2022-04-30
139.162.73.6,mongodb,4.2.14,2023-04-30
37.16.74.118,mongodb,7.0.28,False
185.183.35.189,mongodb,7.0.29,False
136.144.28.177,mongodb,4.0.2,2022-04-30
203.159.93.23,mongodb,4.4.30,2024-02-29
45.82.179.29,mongodb,5.0.2,2024-10-31
45.144.164.6,mongodb,unknown,N/A
185.242.3.237,mongodb,7.0.31,False
185.209.21.73,mongodb,4.4.29,2024-02-29
139.162.28.137,mongodb,5.0.8,2024-10-31
45.128.220.174,mongodb,7.0.31,False
139.162.86.33,mongodb,5.0.27,2024-10-31
5.79.76.37,mongodb,8.0.9,False
62.112.11.8,mongodb,8.0.0,False
80.82.76.43,mongodb,5.0.31,2024-10-31
185.235.128.123,mongodb,7.0.3,False
149.210.250.236,mongodb,4.2.17,2023-04-30
139.162.36.78,mongodb,7.0.12,False
149.210.136.183,mongodb,2.4.14,2013-03-31
136.144.247.77,mongodb,7.0.2,False
188.137.255.51,mongodb,7.0.32,False
139.162.50.214,mongodb,7.0.28,False
5.79.109.96,mongodb,2.6.10,2016-10-31
139.162.8.22,mongodb,7.0.14,False
139.162.121.159,mongodb,7.0.34,False
92.63.163.243,mongodb,unknown,N/A
139.162.144.70,mongodb,3.4.3,2020-01-31
136.144.189.153,mongodb,4.4.8,2024-02-29
78.142.242.87,mongodb,4.4.29,2024-02-29
45.144.167.224,mongodb,unknown,N/A
176.57.71.132,mongodb,5.0.28,2024-10-31
136.144.29.53,mongodb,4.0.2,2022-04-30
31.207.45.217,mongodb,7.0.11,False
37.34.63.121,mongodb,7.0.12,False
2.59.170.247,mongodb,unknown,N/A
139.162.115.209,mongodb,3.6.3,2021-04-30
136.144.231.70,mongodb,7.0.31,False
139.162.78.214,mongodb,4.4.24,2024-02-29
188.212.159.88,mongodb,4.4.15,2024-02-29
139.162.28.149,mongodb,7.0.12,False
46.17.100.38,mongodb,5.0.14,2024-10-31
185.180.220.14,mongodb,7.0.26,False
185.244.219.220,mongodb,8.0.9,False
185.220.175.234,mongodb,4.4.4,2024-02-29
139.162.117.195,mongodb,6.0.2,2025-07-31
139.162.30.167,mongodb,8.0.8,False
77.164.16.112,mongodb,8.0.11,False
185.94.236.148,mongodb,6.0.4,2025-07-31
136.144.238.24,mongodb,4.2.8,2023-04-30
212.8.243.11,mongodb,4.2.3,2023-04-30
139.162.128.20,mongodb,4.4.3,2024-02-29
139.162.39.171,mongodb,3.4.24,2020-01-31
139.162.137.19,mongodb,7.0.21,False
139.162.229.77,mongodb,6.0.16,2025-07-31
139.162.195.182,mongodb,6.0.15,2025-07-31
31.187.238.23,mongodb,3.4.23,2020-01-31
31.207.45.143,mongodb,6.0.27,2025-07-31
139.162.112.150,mongodb,5.0.27,2024-10-31
81.29.196.58,mongodb,4.2.8,2023-04-30
185.79.114.186,mongodb,6.0.19,2025-07-31
139.162.61.226,mongodb,5.0.9,2024-10-31
89.105.217.156,mongodb,6.0.28,2025-07-31
139.162.33.237,mongodb,7.0.26,False
185.185.51.136,mongodb,8.0.12,False
95.215.206.236,mongodb,8.0.8,False
139.162.107.59,mongodb,4.0.28,2022-04-30
139.162.51.23,mongodb,7.0.12,False
45.144.165.226,mongodb,4.2.24,2023-04-30
91.211.250.234,mongodb,5.0.31,2024-10-31
45.88.104.234,mongodb,unknown,N/A
139.162.205.77,mongodb,6.0.16,2025-07-31
175.110.115.105,mongodb,5.0.31,2024-10-31
139.162.174.193,mongodb,7.0.29,False
149.210.200.55,mongodb,4.0.12,2022-04-30
45.136.254.101,mongodb,4.4.30,2024-02-29
139.162.17.124,mongodb,6.0.16,2025-07-31
45.128.221.57,mongodb,5.0.18,2024-10-31
141.98.17.115,mongodb,4.4.6,2024-02-29
194.242.33.164,mongodb,4.0.2,2022-04-30
139.162.139.36,mongodb,4.4.2,2024-02-29
136.144.203.164,mongodb,3.6.9,2021-04-30
92.119.114.240,mongodb,7.0.16,False
139.162.42.60,mongodb,7.0.31,False
203.159.95.104,mongodb,7.0.34,False
139.162.158.131,mongodb,7.0.9,False
139.162.121.180,mongodb,7.0.25,False
5.39.221.144,mongodb,8.0.9,False
139.162.198.42,mongodb,8.0.6,False
139.162.106.67,mongodb,4.4.2,2024-02-29
78.142.242.184,mongodb,4.4.29,2024-02-29
185.244.216.49,mongodb,7.0.30,False
195.26.231.208,mongodb,unknown,N/A
139.162.60.92,mongodb,7.0.5,False
139.162.199.211,mongodb,6.0.1,2025-07-31
136.144.222.244,mongodb,4.4.19,2024-02-29
81.171.19.37,mongodb,5.0.6,2024-10-31
45.91.134.218,mongodb,4.4.29,2024-02-29
136.144.28.205,mongodb,3.4.0,2020-01-31
23.83.121.36,mongodb,7.0.29,False
139.162.196.140,mongodb,4.4.0,2024-02-29
139.162.134.50,mongodb,7.0.31,False
81.29.209.147,mongodb,4.2.8,2023-04-30
66.248.204.89,mongodb,7.0.30,False
139.162.216.57,mongodb,3.6.3,2021-04-30
139.162.82.239,mongodb,5.0.27,2024-10-31
203.159.94.110,mongodb,4.0.28,2022-04-30
78.142.242.77,mongodb,7.0.31,False
103.246.145.212,mongodb,5.0.31,2024-10-31
139.162.229.238,mongodb,5.0.27,2024-10-31
141.138.142.234,mongodb,4.4.10,2024-02-29
139.162.53.237,mongodb,7.0.12,False
185.213.211.81,mongodb,5.0.14,2024-10-31
217.23.1.75,mongodb,4.2.2,2023-04-30
93.190.142.220,mongodb,8.0.4,False
139.162.8.121,mongodb,4.4.2,2024-02-29
139.162.44.73,mongodb,4.4.7,2024-02-29
176.222.53.8,mongodb,7.0.6,False
5.79.119.114,mongodb,4.2.19,2023-04-30
45.91.135.105,mongodb,4.4.6,2024-02-29
139.162.112.20,mongodb,6.0.16,2025-07-31
178.162.148.162,mongodb,3.6.3,2021-04-30
139.162.5.230,mongodb,7.0.19,False
178.162.172.224,mongodb,unknown,N/A
213.166.71.51,mongodb,6.0.2,2025-07-31
136.144.156.100,mongodb,4.4.23,2024-02-29
139.162.3.158,mongodb,5.0.27,2024-10-31
139.162.17.182,mongodb,5.0.27,2024-10-31
185.180.105.216,mongodb,unknown,N/A
139.162.49.38,mongodb,7.0.28,False
31.44.2.117,mongodb,6.0.27,2025-07-31
185.130.225.22,mongodb,5.0.26,2024-10-31
136.144.206.55,mongodb,4.0.28,2022-04-30
46.17.100.238,mongodb,6.0.27,2025-07-31
85.10.129.237,mongodb,8.0.1,False
45.91.135.9,mongodb,8.0.3,False
139.162.28.52,mongodb,6.0.16,2025-07-31
93.190.138.98,mongodb,6.0.6,2025-07-31
92.66.97.60,mongodb,7.0.26,False
185.182.194.46,mongodb,7.0.20,False
194.15.46.44,mongodb,8.0.4,False
185.95.13.171,mongodb,8.0.0,False
185.82.73.46,mongodb,7.0.34,False
80.94.90.175,mongodb,7.0.28,False
139.162.33.80,mongodb,7.0.31,False
152.114.192.182,mongodb,7.0.22,False
62.112.9.86,mongodb,4.4.27,2024-02-29
45.87.41.84,mongodb,7.0.31,False
139.162.8.34,mongodb,6.0.2,2025-07-31
213.5.71.229,mongodb,5.0.4,2024-10-31
92.65.255.149,mongodb,4.4.29,2024-02-29
83.149.99.214,mongodb,4.4.4,2024-02-29
157.97.171.242,mongodb,3.4.24,2020-01-31
139.162.82.232,mongodb,7.0.12,False
139.162.150.179,mongodb,5.0.27,2024-10-31
139.162.78.226,mongodb,3.6.2,2021-04-30
185.75.158.136,mongodb,4.0.28,2022-04-30
185.140.224.52,mongodb,3.6.21,2021-04-30
83.149.118.149,mongodb,4.4.29,2024-02-29
185.232.249.193,mongodb,3.6.18,2021-04-30
45.136.236.222,mongodb,4.4.29,2024-02-29
62.233.53.70,mongodb,7.0.3,False
95.215.206.103,mongodb,7.0.3,False
45.136.255.206,mongodb,4.4.29,2024-02-29
139.162.205.130,mongodb,4.4.1,2024-02-29
37.252.123.62,mongodb,6.0.26,2025-07-31
91.211.250.82,mongodb,6.0.19,2025-07-31
37.153.237.13,mongodb,2.4.9,2013-03-31
185.154.15.89,mongodb,4.4.6,2024-02-29
139.162.161.244,mongodb,6.0.16,2025-07-31
45.128.222.63,mongodb,unknown,N/A
45.144.166.130,mongodb,4.0.1,2022-04-30
45.91.132.173,mongodb,4.4.6,2024-02-29
139.162.53.175,mongodb,5.0.27,2024-10-31
77.83.172.209,mongodb,7.0.6,False
139.162.233.167,mongodb,6.0.5,2025-07-31
139.162.2.18,mongodb,4.0.26-21,2022-04-30
45.136.141.122,mongodb,6.0.27,2025-07-31
217.170.16.46,mongodb,6.0.27,2025-07-31
45.154.25.52,mongodb,4.4.27,2024-02-29
45.144.167.78,mongodb,4.4.29,2024-02-29
45.90.116.141,mongodb,unknown,N/A
139.162.208.94,mongodb,3.4.10,2020-01-31
139.162.176.19,mongodb,7.0.21,False
172.241.69.236,mongodb,6.0.21,2025-07-31
149.210.166.139,mongodb,3.4.17,2020-01-31
204.76.203.88,mongodb,7.0.31,False
23.83.121.44,mongodb,7.0.29,False
37.97.220.176,mongodb,4.4.18,2024-02-29
139.162.161.11,mongodb,6.0.27,2025-07-31
139.162.112.41,mongodb,5.0.27,2024-10-31
139.162.83.24,mongodb,8.0.0-rc15,False
5.2.79.251,mongodb,7.0.30,False
82.192.75.17,mongodb,2.0.4,2013-03-31
45.136.253.173,mongodb,7.0.34,False
45.154.24.95,mongodb,4.4.30,2024-02-29
139.162.22.101,mongodb,3.0.15,2018-02-28
139.162.112.46,mongodb,6.0.16,2025-07-31
78.142.242.69,mongodb,unknown,N/A
95.170.68.26,mongodb,4.4.13,2024-02-29
94.101.119.1,mongodb,unknown,N/A
139.162.45.64,mongodb,5.0.9,2024-10-31
77.175.20.206,mongodb,7.0.32,False
139.162.13.28,mongodb,4.2.7,2023-04-30
81.171.24.45,mongodb,3.4.4,2020-01-31
139.162.126.206,mongodb,4.4.6,2024-02-29
185.231.220.114,mongodb,7.0.0,False
37.97.214.106,mongodb,6.0.6,2025-07-31
203.159.94.191,mongodb,4.4.6,2024-02-29
85.209.88.45,mongodb,7.0.14,False
23.109.74.124,mongodb,6.0.21,2025-07-31
89.39.106.86,mongodb,6.0.20,2025-07-31
141.98.19.148,mongodb,8.0.11,False
