ip,port,status_code,server_header,nginx_version
"5.2.79.220","80","403","nginx/1.18.0 (Ubuntu)","1.18.0"
"5.2.79.220","443","403","nginx/1.18.0 (Ubuntu)","1.18.0"
"31.200.213.220","80","200","nginx/1.14.2","1.14.2"
"31.200.213.220","443","502","nginx/1.14.2","1.14.2"
"82.174.255.50","80","200","nginx","unknown"
"82.174.255.50","443","200","nginx","unknown"
"136.144.190.104","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"136.144.190.104","443","200","nginx","unknown"
"188.72.203.146","80","403","nginx","unknown"
"188.72.203.146","443","403","nginx","unknown"
"94.102.63.54","80","200","nginx","unknown"
"94.102.63.54","443","200","nginx","unknown"
"136.144.220.120","80","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"136.144.220.120","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"139.162.61.39","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"139.162.61.39","443","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"95.211.62.35","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"213.154.241.166","80","421","nginx","unknown"
"213.154.241.166","443","421","nginx","unknown"
"202.148.53.70","80","200","nginx/1.28.0","1.28.0"
"202.148.53.70","443","200","nginx/1.28.0","1.28.0"
"81.171.6.71","80","200","nginx","unknown"
"81.171.6.71","443","200","nginx","unknown"
"139.162.28.248","80","403","nginx/1.8.0","1.8.0"
"185.225.27.252","80","404","nginx","unknown"
"185.225.27.252","443","404","nginx","unknown"
"85.10.159.214","80","200","nginx","unknown"
"85.10.159.214","443","200","nginx","unknown"
"139.162.153.233","80","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"139.162.153.233","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"185.95.25.253","80","200","nginx","unknown"
"185.95.25.253","443","200","nginx","unknown"
"194.145.195.36","80","403","nginx","unknown"
"194.145.195.36","443","403","nginx","unknown"
"46.244.63.133","80","200","nginx/1.14.2","1.14.2"
"185.159.230.5","80","200","nginx","unknown"
"185.159.230.5","443","200","nginx","unknown"
"193.41.32.41","80","404","nginx","unknown"
"193.41.32.41","443","404","nginx","unknown"
"136.144.247.238","80","200","nginx","unknown"
"136.144.247.238","443","200","nginx","unknown"
"5.255.100.92","80","404","nginx","unknown"
"5.255.100.92","443","200","nginx","unknown"
"45.88.77.139","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"45.88.77.139","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"212.43.146.52","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"212.43.146.52","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"185.95.24.208","80","200","nginx","unknown"
"185.95.24.208","443","200","nginx","unknown"
"45.82.65.102","80","200","nginx","unknown"
"95.211.197.173","80","200","nginx","unknown"
"95.211.197.173","443","200","nginx","unknown"
"82.168.44.1","80","200","nginx","unknown"
"82.168.44.1","443","200","nginx","unknown"
"185.184.192.34","80","200","nginx/1.31.0","1.31.0"
"136.144.208.252","80","200","nginx","unknown"
"136.144.208.252","443","200","nginx","unknown"
"89.149.243.154","80","200","nginx","unknown"
"89.149.243.154","443","200","nginx","unknown"
"87.237.24.18","80","200","nginx","unknown"
"87.237.24.18","443","200","nginx","unknown"
"149.210.249.67","80","404","nginx/1.14.0 (Ubuntu)","1.14.0"
"37.48.120.204","80","200","nginx","unknown"
"37.48.120.204","443","200","nginx","unknown"
"176.56.237.58","80","200","nginx/1.12.2","1.12.2"
"86.92.102.195","80","200","nginx","unknown"
"86.92.102.195","443","200","nginx","unknown"
"185.159.242.104","80","200","nginx","unknown"
