ip,software,version,eol_status
139.162.207.142,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips mod_wsgi/3.4 Python/2.7.5 PHP/7.1.26,1.0.2k,2019-12-31
192.243.48.103,Apache/2.2.34 (Unix) PHP/7.4.33 mod_ssl/2.2.34 OpenSSL/1.0.2k,1.0.2k,2019-12-31
45.157.203.214,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.129.147.95,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.16,1.0.2k,2019-12-31
37.97.186.174,Apache/2.4.63 (AlmaLinux) OpenSSL/3.5.1,3.5.1,False
185.218.207.41,Apache/2.4.67 (Unix) OpenSSL/3.5.6,3.5.6,False
149.210.174.88,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips mod_fcgid/2.3.9 SVN/1.7.14,1.0.2k,2019-12-31
185.222.33.212,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
185.222.34.248,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.136.64.170,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
93.119.6.29,Apache/2.4.63 (AlmaLinux) OpenSSL/3.5.1,3.5.1,False
45.157.203.0,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.149.89.73,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
45.136.64.176,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
185.222.34.130,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.149.89.21,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
